,0
16,"[' #WizNets RT ""@BrooklynNets: ...but just wait for the epic comeback we\'ve got planned for the 2nd half.""', 'BrooklynNets', 'WashWizards', [' #WizNets RT ""@BrooklynNets: ...but just wait for the epic comeback we\'ve got planned for the 2nd half.""', '@WashWizardspic.twitter.com/SiECPsJRzn'], 2, ['7 Feb 2015', '7 Feb 2015'], ['Washington Wizards', 'Brooklyn Nets'], 2]"
17,"['.@BrooklynNets please control your cowshttps://twitter.com/NYCityAlerts/status/920319045760626689\xa0…', 'BrooklynNets', 'ChicagoBulls', ['.@BrooklynNets please control your cowshttps://twitter.com/NYCityAlerts/status/920319045760626689\xa0…', ""Not sure he is one of ours. Let's check with the @chicagobulls. \n\n@bennythebull...is this a friend of yours?""], 2, ['Oct 17 2017', 'Oct 17 2017'], ['Sacramento Kings', 'Brooklyn Nets'], 2]"
18,"['Waiting on @NBA season like... \n\n#IsItOctoberYetpic.twitter.com/bKci9WTkZm', 'BrooklynNets', 'spurs', ['Waiting on @NBA season like... \n\n#IsItOctoberYetpic.twitter.com/bKci9WTkZm', ""Can't. Wait. #IsItOctoberYetpic.twitter.com/cKdn3ebgfy""], 2, ['Aug 1 2017', 'Aug 1 2017'], ['San Antonio Spurs', 'Brooklyn Nets'], 2]"
19,"['Joe Harris and Devin Booker lead all scorers with 14 each. \n\n@BrooklynNets have 47-41 halftime lead over @Suns on #NBA League Pass.pic.twitter.com/M3QFKQuEkK', 'BrooklynNets', 'Suns', ['Joe Harris and Devin Booker lead all scorers with 14 each. \n\n@BrooklynNets have 47-41 halftime lead over @Suns on #NBA League Pass.pic.twitter.com/M3QFKQuEkK', 'If the suns lose they will be considered the worst team in the league', 'Statistically this is incorrect.', ""You're the one losing to the nets think about it"", 'your math is still wrong though, mike'], 5, ['Nov 6 2017', 'Nov 6 2017', 'Nov 6 2017', 'Nov 6 2017', 'Nov 6 2017'], ['NBA', 'mike', 'Phoenix Suns', 'mike', 'Brooklyn Nets'], 5]"
20,"[""It's #Nets vs. #Hawks today tipping off at 4:30 PM ET. Catch the #NetsSummer action on @NBATV.pic.twitter.com/Q3JRQ1UMrv"", 'BrooklynNets', 'ATLHawks', [""It's #Nets vs. #Hawks today tipping off at 4:30 PM ET. Catch the #NetsSummer action on @NBATV.pic.twitter.com/Q3JRQ1UMrv"", ""Let's do this fam"", 'see you on the court!'], 3, ['11 Jul 2016', '11 Jul 2016', '11 Jul 2016'], ['Brooklyn Nets', 'Atlanta Hawks', 'Brooklyn Nets'], 3]"
21,"[""Going to the game tonight & couldn't decide to wear something to rep @BrooklynNets for Jeremy Lin or @ATLHawks for my city. So I'm neutral."", 'BrooklynNets', 'ATLHawks', [""Going to the game tonight & couldn't decide to wear something to rep @BrooklynNets for Jeremy Lin or @ATLHawks for my city. So I'm neutral."", ''], 2, ['Mar 8 2017', 'Mar 8 2017'], ['Holland Christensen', 'Brooklyn Nets'], 2]"
22,"['Wafer Alston. Feel free to re-treat this. #NBASweets #Nets #Throwbackpic.twitter.com/gIk9iPzIen', 'BrooklynNets', 'ATLHawks', ['Wafer Alston. Feel free to re-treat this. #NBASweets #Nets #Throwbackpic.twitter.com/gIk9iPzIen', '@BrooklynNets Adorable.', '@ATLHawks Gotta love the off-season hashtag games, happy to play along!'], 3, ['6 Aug 2014', '6 Aug 2014', '6 Aug 2014'], ['Brooklyn Nets', 'Atlanta Hawks', 'Brooklyn Nets'], 3]"
23,"['So the @BrooklynNets are spiderwebs?!https://twitter.com/ATLHawks/status/763876273915559936\xa0…', 'BrooklynNets', 'ATLHawks', ['So the @BrooklynNets are spiderwebs?!https://twitter.com/ATLHawks/status/763876273915559936\xa0…', 'Closest thing we could find to a net', 'gotta respect the creativity '], 3, ['12 Aug 2016', '14 Aug 2016', '14 Aug 2016'], ['Doug Bearak', 'Atlanta Hawks', 'Brooklyn Nets'], 3]"
24,"['According to our mentions, we should trade for everybody.', 'BrooklynNets', 'ATLHawks', ['According to our mentions, we should trade for everybody.', 'The floor is our mentionspic.twitter.com/zRqvTWujoB'], 2, ['Jun 20 2017', 'Jun 20 2017'], ['Atlanta Hawks', 'Brooklyn Nets'], 2]"
25,"['Good series, @BrooklynNets. #Respect #NBAFamilypic.twitter.com/DPxS5MXSPG', 'BrooklynNets', 'ATLHawks', ['Good series, @BrooklynNets. #Respect #NBAFamilypic.twitter.com/DPxS5MXSPG', '@ATLHawks That it was. Best of luck to you in the next round.pic.twitter.com/PER9mM1nWZ'], 2, ['1 May 2015', '1 May 2015'], ['Atlanta Hawks', 'Brooklyn Nets'], 2]"
26,"['GAME NIGHT. #WeAreBrooklynpic.twitter.com/jIrT30K5Y1', 'BrooklynNets', 'ATLHawks', ['GAME NIGHT. #WeAreBrooklynpic.twitter.com/jIrT30K5Y1', '@BrooklynNets Good luck gents', '@ATLHawks Ditto'], 3, ['5 Dec 2014', '5 Dec 2014', '5 Dec 2014'], ['Brooklyn Nets', 'Atlanta Hawks', 'Brooklyn Nets'], 3]"
27,"['Home court advantage. #Nets 18-0 Run in Game 3 is our #4 Top Moment of the season: http://on.nba.com/1I9zJSK\xa0pic.twitter.com/EIIBjXUB7q', 'BrooklynNets', 'ATLHawks', ['Home court advantage. #Nets 18-0 Run in Game 3 is our #4 Top Moment of the season: http://on.nba.com/1I9zJSK\xa0pic.twitter.com/EIIBjXUB7q', '@BrooklynNetspic.twitter.com/V78tD3JH6V', '@ATLHawkspic.twitter.com/WKdSeP6aax'], 3, ['19 Jun 2015', '19 Jun 2015', '19 Jun 2015'], ['Brooklyn Nets', 'Atlanta Hawks', 'Brooklyn Nets'], 3]"
28,"['We The North is our battle cry ... And this ... this is our shield.http://youtu.be/wUQnl_nnOGs\xa0', 'BrooklynNets', 'Raptors', ['We The North is our battle cry ... And this ... this is our shield.http://youtu.be/wUQnl_nnOGs\xa0', '.@Raptors Looks familiar'], 2, ['19 Dec 2014', '19 Dec 2014'], ['Toronto Raptors', 'Brooklyn Nets'], 2]"
29,"['.@BrooklynNets please control your cowshttps://twitter.com/NYCityAlerts/status/920319045760626689\xa0…', 'BrooklynNets', 'SacramentoKings', ['.@BrooklynNets please control your cowshttps://twitter.com/NYCityAlerts/status/920319045760626689\xa0…', ""Not sure he is one of ours. Let's check with the @chicagobulls. \n\n@bennythebull...is this a friend of yours?"", 'What, you think all bulls know each other?', 'It would be a cowincidence, but we know how friendly you are'], 4, ['Oct 17 2017', 'Oct 17 2017', 'Oct 17 2017', 'Oct 17 2017'], ['Sacramento Kings', 'Brooklyn Nets', 'Benny', 'Brooklyn Nets'], 4]"
30,"['No words...pic.twitter.com/L6RxJNiKzV', 'BrooklynNets', 'trailblazers', ['No words...pic.twitter.com/L6RxJNiKzV', 'What a guy. RT @trailblazers: No words...pic.twitter.com/0VgsJrLCVO'], 2, ['18 Mar 2015', '18 Mar 2015'], ['Trail Blazers', 'Brooklyn Nets'], 2]"
31,"['Good game @BrooklynNets...pic.twitter.com/TuNxhCySQp', 'BrooklynNets', 'trailblazers', ['Good game @BrooklynNets...pic.twitter.com/TuNxhCySQp', '.@trailblazers same to you guys, always a pleasure.pic.twitter.com/8cxES0rgp9'], 2, ['6 Apr 2015', '6 Apr 2015'], ['Trail Blazers', 'Brooklyn Nets'], 2]"
32,"['BLAZERS ON PACE TO SHUT OUT THE NETS', 'BrooklynNets', 'trailblazers', ['BLAZERS ON PACE TO SHUT OUT THE NETS', '@TRILLBLAZIN thx for the jinx', '@trailblazers @TRILLBLAZIN yes, thanks!'], 3, ['23 Feb 2016', '23 Feb 2016', '23 Feb 2016'], ['WORLDWIDEWEB DOT TRILLBLAZIN DOT NETWORK', 'Trail Blazers', 'Brooklyn Nets'], 3]"
33,"['17-2 run.pic.twitter.com/AJsVLCHMbE', 'BrooklynNets', 'trailblazers', ['17-2 run.pic.twitter.com/AJsVLCHMbE', '.@trailblazerspic.twitter.com/4deshRvg7t'], 2, ['15 Jan 2016', '15 Jan 2016'], ['Trail Blazers', 'Brooklyn Nets'], 2]"
34,"['good game, @BrooklynNets.', 'BrooklynNets', 'trailblazers', ['good game, @BrooklynNets.', 'Thanks for having us!pic.twitter.com/0F30a1XNJK'], 2, ['Nov 10 2017', 'Nov 10 2017'], ['Trail Blazers', 'Brooklyn Nets'], 2]"
35,"['Game Day  See you soon @trailblazerspic.twitter.com/CFBF6dnniz', 'BrooklynNets', 'trailblazers', ['Game Day  See you soon @trailblazerspic.twitter.com/CFBF6dnniz', 'hey @BrooklynNetspic.twitter.com/msp4pBRUeN', 'welcome to Brooklyn pic.twitter.com/yTg5zRtJse'], 3, ['20 Nov 2016', '20 Nov 2016', '20 Nov 2016'], ['Brooklyn Nets', 'Trail Blazers', 'Brooklyn Nets'], 3]"
36,"['I guess I’ll start off my #NBA team shopping with some @BrooklynNets and @trailblazers gear. My two favorites so far.. #WeGoHard #RipCity', 'BrooklynNets', 'trailblazers', ['I guess I’ll start off my #NBA team shopping with some @BrooklynNets and @trailblazers gear. My two favorites so far.. #WeGoHard #RipCity', 'Excellent choices, Derrick.'], 2, ['Oct 27 2017', 'Oct 27 2017'], ['?? \xa0\U0001f964', 'Brooklyn Nets'], 2]"
37,"['how (part II)pic.twitter.com/YDMYrsEpPs', 'BrooklynNets', 'trailblazers', ['how (part II)pic.twitter.com/YDMYrsEpPs', '.@trailblazerspic.twitter.com/SaP7xT6t4R'], 2, ['20 Nov 2016', '20 Nov 2016'], ['Trail Blazers', 'Brooklyn Nets'], 2]"
38,"['More like Brooke-lyn, amirite?pic.twitter.com/p7l4YSrO1E', 'BrooklynNets', 'trailblazers', ['More like Brooke-lyn, amirite?pic.twitter.com/p7l4YSrO1E', ''], 2, ['Nov 24 2017', 'Nov 24 2017'], ['Trail Blazers', 'Brooklyn Nets'], 2]"
39,"['@BrooklynNetspic.twitter.com/IzG1t24beQ', 'BrooklynNets', 'trailblazers', ['@BrooklynNetspic.twitter.com/IzG1t24beQ', '@trailblazerspic.twitter.com/tAEsQ480ZB'], 2, ['26 Jan 2015', '26 Jan 2015'], ['Trail Blazers', 'Brooklyn Nets'], 2]"
40,"['What a repeat. Brook Lopez named @NBA Eastern Conference Player of the Week for 2nd straight week! #Netspic.twitter.com/NMpY7mDmFh', 'BrooklynNets', 'trailblazers', ['What a repeat. Brook Lopez named @NBA Eastern Conference Player of the Week for 2nd straight week! #Netspic.twitter.com/NMpY7mDmFh', ""@BrooklynNets you sure they didn't confuse him with Robin?"", ""@trailblazers oh we're positive.pic.twitter.com/saNaAnPJfi""], 3, ['6 Apr 2015', '6 Apr 2015', '6 Apr 2015'], ['Brooklyn Nets', 'Trail Blazers', 'Brooklyn Nets'], 3]"
41,"['Can we make it SIX straight wins tonight against Brooklyn?\n\n#BKNatPOR\n\nGame Day Hub » http://rip.city/1UkXiSr\xa0pic.twitter.com/YKLZBTJZYM', 'BrooklynNets', 'trailblazers', ['Can we make it SIX straight wins tonight against Brooklyn?\n\n#BKNatPOR\n\nGame Day Hub » http://rip.city/1UkXiSr\xa0pic.twitter.com/YKLZBTJZYM', '.@trailblazerspic.twitter.com/tK6Zjwh0YA'], 2, ['23 Feb 2016', '23 Feb 2016'], ['Trail Blazers', 'Brooklyn Nets'], 2]"
42,"['https://twitter.com/BrooklynNets/status/687682219368931328\xa0…', 'BrooklynNets', 'trailblazers', ['https://twitter.com/BrooklynNets/status/687682219368931328\xa0…', '.@trailblazers see you guys tonight...pic.twitter.com/UQ3j7NAtxL'], 2, ['15 Jan 2016', '15 Jan 2016'], ['Trail Blazers', 'Brooklyn Nets'], 2]"
43,"['This game.\n\n#CavsPelicanspic.twitter.com/poC63zIzaJ', 'PelicansNBA', 'cavs', ['This game.\n\n#CavsPelicanspic.twitter.com/poC63zIzaJ', '@cavs - Right?!?!pic.twitter.com/EEO4hNIsz5'], 2, ['4 Dec 2015', '4 Dec 2015'], ['Cleveland Cavaliers', 'New Orleans Pelicans'], 2]"
44,"['I can just imagine the hard work and creativity that went into the social team meetings for these emoji hashtags: #Celtics #Knicks #Pelicans', 'PelicansNBA', 'NYKnicks', ['I can just imagine the hard work and creativity that went into the social team meetings for these emoji hashtags: #Celtics #Knicks #Pelicans', 'Try harder or at least get your interns to @celtics @nyknicks @PelicansNBA', 'pic.twitter.com/rGlN2XAgCN'], 3, ['25 Oct 2016', '25 Oct 2016', '25 Oct 2016'], ['CARBL \xa0?', 'CARBL \xa0?', 'New Orleans Pelicans'], 3]"
45,"['.@PelicansNBApic.twitter.com/oaME5i4U0F', 'PelicansNBA', 'BrooklynNets', ['.@PelicansNBApic.twitter.com/oaME5i4U0F', '@BrooklynNets -pic.twitter.com/Hf9JUGAl41'], 2, ['10 Mar 2015', '10 Mar 2015'], ['Brooklyn Nets', 'New Orleans Pelicans'], 2]"
46,"['Who you got tonight?', 'PelicansNBA', 'OrlandoMagic', ['Who you got tonight?', '@OrlandoMagic - You misspelled Pelicans.', '@PelicansNBA This is you, right??pic.twitter.com/Io8yYLH1pd', '@OrlandoMagic - More like this...pic.twitter.com/v3aeQnZATx'], 4, ['28 Dec 2015', '28 Dec 2015', '28 Dec 2015', '28 Dec 2015'], ['Orlando Magic', 'New Orleans Pelicans', 'Orlando Magic', 'New Orleans Pelicans'], 4]"
47,"[""When you realize you're 2 hours away from seeing the Magic take on .@PelicansNBA ...pic.twitter.com/3BvUKIyYOZ"", 'PelicansNBA', 'OrlandoMagic', [""When you realize you're 2 hours away from seeing the Magic take on .@PelicansNBA ...pic.twitter.com/3BvUKIyYOZ"", ""@OrlandoMagic - Let's do battle!pic.twitter.com/iU9gjg9yHD""], 2, ['3 Nov 2015', '3 Nov 2015'], ['Orlando Magic', 'New Orleans Pelicans'], 2]"
48,"['Back at it -\n\n vs @OrlandoMagic\n 7 pm CT\n @SmoothieKingCtr\n @FOXSportsNOLA\n @995WRNO\n http://bit.ly/2z1oxOz\xa0\n#DoItBigpic.twitter.com/zKKqKCqR6B', 'PelicansNBA', 'OrlandoMagic', ['Back at it -\n\n vs @OrlandoMagic\n 7 pm CT\n @SmoothieKingCtr\n @FOXSportsNOLA\n @995WRNO\n http://bit.ly/2z1oxOz\xa0\n#DoItBigpic.twitter.com/zKKqKCqR6B', 'Ready to put on a show, @PelicansNBA?!', 'pic.twitter.com/fUpoIO0njy'], 3, ['Oct 30 2017', 'Oct 30 2017', 'Oct 30 2017'], ['New Orleans Pelicans', 'Orlando Magic', 'New Orleans Pelicans'], 3]"
49,"['ZACH with the HAMMER ', 'PelicansNBA', 'Timberwolves', ['ZACH with the HAMMER ', '@Timberwolves - 7.2 '], 2, ['13 Apr 2016', '13 Apr 2016'], ['Timberwolves', 'New Orleans Pelicans'], 2]"
50,"['Game Day morning in New Orleans!pic.twitter.com/9kA7jjeSfe', 'PelicansNBA', 'MiamiHEAT', ['Game Day morning in New Orleans!pic.twitter.com/9kA7jjeSfe', '@MiamiHEAT - Oh hey! '], 2, ['22 Mar 2016', '22 Mar 2016'], ['Miami HEAT', 'New Orleans Pelicans'], 2]"
51,"['Chris Bosh is currently resting comfortably at a Baptist Hospital. Chris is OK and his prognosis is good. More info -http://gohe.at/17FVONi\xa0', 'PelicansNBA', 'MiamiHEAT', ['Chris Bosh is currently resting comfortably at a Baptist Hospital. Chris is OK and his prognosis is good. More info -http://gohe.at/17FVONi\xa0', '@MiamiHEAT - Good to hear. Wishing him a speedy recovery! See you on the court tonight...and next Friday :)'], 2, ['21 Feb 2015', '21 Feb 2015'], ['Miami HEAT', 'New Orleans Pelicans'], 2]"
52,"['Get those #buckets, @ryananderson33!', 'PelicansNBA', 'LAClippers', ['Get those #buckets, @ryananderson33!', '@PelicansNBA Kindly stop with the bucket-getting', '@LAClippers - But bucket-getting is so much fun!'], 3, ['30 Jan 2015', '30 Jan 2015', '30 Jan 2015'], ['New Orleans Pelicans', 'LA Clippers', 'New Orleans Pelicans'], 3]"
53,"['.@solohill from three! #Pelicans 17, Clippers 16!pic.twitter.com/qA2FtJq3uF', 'PelicansNBA', 'LAClippers', ['.@solohill from three! #Pelicans 17, Clippers 16!pic.twitter.com/qA2FtJq3uF', 'sup.pic.twitter.com/zALZWzcIt8', 'pic.twitter.com/0ImhycG2d9'], 3, ['2 Dec 2016', '2 Dec 2016', '2 Dec 2016'], ['New Orleans Pelicans', 'LA Clippers', 'New Orleans Pelicans'], 3]"
54,"['Just toss it up #ChrisPaul -- #AnthonyDavis knows what to do with it!https://amp.twimg.com/v/001f2c76-f048-4aeb-9969-7a5c34e653e7\xa0…', 'PelicansNBA', 'LAClippers', ['Just toss it up #ChrisPaul -- #AnthonyDavis knows what to do with it!https://amp.twimg.com/v/001f2c76-f048-4aeb-9969-7a5c34e653e7\xa0…', '@LAClippers - Indeed he does!'], 2, ['14 Feb 2016', '14 Feb 2016'], ['LA Clippers', 'New Orleans Pelicans'], 2]"
55,"['Wait, we JUST got that follow, @PelicansNBA!? pic.twitter.com/cO7wzMwm3l', 'PelicansNBA', 'nuggets', ['Wait, we JUST got that follow, @PelicansNBA!? pic.twitter.com/cO7wzMwm3l', '@nuggets - Yeahhh...we were wondering the same thing. Our bad. #NBAlove'], 2, ['20 Dec 2015', '20 Dec 2015'], ['Denver Nuggets', 'New Orleans Pelicans'], 2]"
56,"['Use the force, Jruehttps://vine.co/v/iZgA9tlwDJu\xa0', 'PelicansNBA', 'WashWizards', ['Use the force, Jruehttps://vine.co/v/iZgA9tlwDJu\xa0', '.@PelicansNBA good luck with those mind tricks against Obi-Wall tonight \n\n#WizPelicanspic.twitter.com/C72SGJ0tGL', '.@WashWizards - Ready for ya! We have some tricks up our giant robe sleeves.pic.twitter.com/eaFGNU2cqF'], 3, ['11 Dec 2015', '11 Dec 2015', '11 Dec 2015'], ['New Orleans Pelicans', 'Washington Wizards', 'New Orleans Pelicans'], 3]"
57,"['One more hour! #NBASchedulepic.twitter.com/7GKPk3ReJ9', 'PelicansNBA', 'spurs', ['One more hour! #NBASchedulepic.twitter.com/7GKPk3ReJ9', '@PelicansNBA yassssspic.twitter.com/YO2f3Wlo2l', '@spurs @Suns - Group hug!pic.twitter.com/UhpRqXq2nM'], 3, ['12 Aug 2015', '12 Aug 2015', '12 Aug 2015'], ['New Orleans Pelicans', 'San Antonio Spurs', 'New Orleans Pelicans'], 3]"
58,"['Now taking suggestions for Patty Mills triple hashtags. GO!', 'PelicansNBA', 'spurs', ['Now taking suggestions for Patty Mills triple hashtags. GO!', '@spurs - #boo'], 2, ['20 Nov 2015', '20 Nov 2015'], ['San Antonio Spurs', 'New Orleans Pelicans'], 2]"
59,"['.@spurs advance to the quarterfinals with their 86-84 win over @PelicansNBA #NBASummerpic.twitter.com/muc1XVeg7Q', 'PelicansNBA', 'spurs', ['.@spurs advance to the quarterfinals with their 86-84 win over @PelicansNBA #NBASummerpic.twitter.com/muc1XVeg7Q', 'Was it 86-84 or 86-81', ""86-81. Cook's shot after buzzer.""], 3, ['Jul 13 2017', 'Jul 13 2017', 'Jul 13 2017'], ['NBA Summer League', 'Sam Bradbury', 'New Orleans Pelicans'], 3]"
60,"['One more hour! #NBASchedulepic.twitter.com/7GKPk3ReJ9', 'PelicansNBA', 'Suns', ['One more hour! #NBASchedulepic.twitter.com/7GKPk3ReJ9', '@PelicansNBA yassssspic.twitter.com/YO2f3Wlo2l', '@spurs @Suns - Group hug!pic.twitter.com/UhpRqXq2nM'], 3, ['12 Aug 2015', '12 Aug 2015', '12 Aug 2015'], ['New Orleans Pelicans', 'San Antonio Spurs', 'New Orleans Pelicans'], 3]"
61,"['Uh, so this 2nd quarter has been a little bit more of a fight than the 1st. #SunsVsPelicans #ThanksGIFingpic.twitter.com/KuxXrtvxkE', 'PelicansNBA', 'Suns', ['Uh, so this 2nd quarter has been a little bit more of a fight than the 1st. #SunsVsPelicans #ThanksGIFingpic.twitter.com/KuxXrtvxkE', '@Suns - '], 2, ['25 Nov 2015', '25 Nov 2015'], ['Phoenix Suns', 'New Orleans Pelicans'], 2]"
62,"['First battle vs the @HoustonRockets in China: @NBA2K! #NBAGlobalGames #Pelicanspic.twitter.com/HeYbbCy0jX', 'PelicansNBA', 'HoustonRockets', ['First battle vs the @HoustonRockets in China: @NBA2K! #NBAGlobalGames #Pelicanspic.twitter.com/HeYbbCy0jX', 'We beat the @HoustonRockets in @NBA2K and @AntDavis23 won MVP!!! #NBAGlobalGames #Pelicanspic.twitter.com/kWyFCXtwnj'], 2, ['6 Oct 2016', '6 Oct 2016'], ['New Orleans Pelicans', 'New Orleans Pelicans'], 2]"
